date,open,high,low,close,volume,open_interest,exchange,interval,symbol,accumulative_adjust
2007-12-27,87.78,87.78,87.78,87.78,0,0,Exchange.NYMEX,Interval.MINUTE,CLM06,0
2007-12-28,87.11,87.11,87.11,87.11,0,0,Exchange.NYMEX,Interval.MINUTE,CLM06,0
2008-03-28,97.31,97.31,97.31,97.31,0,0,Exchange.NYMEX,Interval.MINUTE,CLM06,0
2008-03-31,96.95,96.95,93.7,93.7,0,0,Exchange.NYMEX,Interval.MINUTE,CLM06,0
2008-04-03,94,94,94,94,0,0,Exchange.NYMEX,Interval.MINUTE,CLM06,0
2008-07-29,118,118,117.1,117.1,11,0,Exchange.NYMEX,Interval.MINUTE,CLM06,0
2008-07-30,117.1,122.37,115.78,121.71,217901,0,Exchange.NYMEX,Interval.MINUTE,CLU08,5.02000000000001
2008-07-31,121.68,122.87,117.69,118.48,206222,0,Exchange.NYMEX,Interval.MINUTE,CLU08,5.02000000000001
2008-08-01,118.51,123.58,117.08,120.28,197051,0,Exchange.NYMEX,Interval.MINUTE,CLU08,5.02000000000001
2008-08-03,120.96,121.33,120.35,121.19,2658,0,Exchange.NYMEX,Interval.MINUTE,CLU08,5.02000000000001
2008-08-04,121.2,121.33,114.48,115.33,205763,0,Exchange.NYMEX,Interval.MINUTE,CLU08,5.02000000000001
2008-08-05,115.31,116.21,112.98,113.42,197791,0,Exchange.NYMEX,Interval.MINUTE,CLU08,5.02000000000001
2008-08-06,113.39,115.47,112.09,113.76,185692,0,Exchange.NYMEX,Interval.MINUTE,CLU08,5.02000000000001
2008-08-07,113.78,116.76,112.89,114.81,188267,0,Exchange.NYMEX,Interval.MINUTE,CLU08,5.02000000000001
2008-08-08,114.7,115.02,109.6,110.13,179855,0,Exchange.NYMEX,Interval.MINUTE,CLU08,5.02000000000001
2008-08-10,110.18,111.72,110.18,111.64,4923,0,Exchange.NYMEX,Interval.MINUTE,CLU08,5.02000000000001
2008-08-11,111.64,111.88,107.7,108.78,189428,0,Exchange.NYMEX,Interval.MINUTE,CLU08,5.02000000000001
2008-08-12,108.76,110.93,107.29,108.13,196342,0,Exchange.NYMEX,Interval.MINUTE,CLU08,5.02000000000001
2008-08-13,108.12,112.44,107.85,111.7,199458,0,Exchange.NYMEX,Interval.MINUTE,CLU08,5.02000000000001
2008-08-14,111.73,112.4,107.57,108.9,172114,0,Exchange.NYMEX,Interval.MINUTE,CLU08,5.02000000000001
2008-08-15,108.89,109.29,106.32,108.77,156456,0,Exchange.NYMEX,Interval.MINUTE,CLU08,5.02000000000001
2008-08-17,108.92,109.97,108.23,109.96,2611,0,Exchange.NYMEX,Interval.MINUTE,CLU08,5.02000000000001
2008-08-18,109.93,110.33,106.74,106.84,110573,0,Exchange.NYMEX,Interval.MINUTE,CLU08,5.02000000000001
2008-08-19,106.85,111.63,106.62,109.88,58900,0,Exchange.NYMEX,Interval.MINUTE,CLU08,5.02000000000001
