date,open,high,low,close,volume,open_interest
2019-05-05,2925.75,2926.75,2883.75,2886.75,4370,0
2019-05-06,2886.75,2938,2886.25,2912.5,164851,0
2019-05-07,2912.5,2930.75,2862.5,2891,250365,0
2019-05-08,2891.5,2899.25,2867.75,2871.25,259360,0
2019-05-09,2871.5,2889.25,2836.25,2859.75,357027,0
2019-05-10,2860.25,2893,2826,2887.25,361416,0
2019-05-12,2881.25,2881.25,2852.5,2857.75,20314,0
2019-05-13,2857.75,2858.75,2799.5,2821.75,383355,0
2019-05-14,2821.5,2854,2816.25,2844,177393,0
2019-05-15,2844,2860,2815,2846.5,224416,0
2019-05-16,2846.5,2894.25,2842,2869.5,210705,0
2019-05-17,2869.25,2887.75,2852.5,2861.5,289246,0
2019-05-19,2861.5,2876.75,2861.5,2870.5,16490,0
2019-05-20,2871,2873,2832.25,2856.75,261260,0
2019-05-21,2856.5,2870.75,2846.5,2867,156235,0
2019-05-22,2867.25,2868,2843.5,2847,180112,0
2019-05-23,2847,2848,2805.5,2828,298481,0
2019-05-24,2828,2842,2820.75,2830.75,162073,0
2019-05-26,2831,2835,2826.25,2829.75,6018,0
2019-05-27,2829.75,2839.25,2827.5,2838.25,20389,0
2019-05-28,2838,2841.25,2792.25,2796,201873,0
2019-05-29,2796,2800,2766.25,2785.25,296801,0
2019-05-30,2785.25,2799.25,2763.5,2773.25,227370,0
2019-05-31,2773.5,2773.75,2750,2752.75,287081,0
2019-06-02,2742.25,2744.25,2732.25,2738.5,22973,0
2019-06-03,2738.5,2763.75,2728.75,2752.5,409735,0
2019-06-04,2752.5,2815.5,2747.5,2812.5,263813,0
2019-06-05,2812.5,2829.75,2800.75,2826.75,312956,0
2019-06-06,2827,2853.25,2821.75,2849.75,251492,0
2019-06-07,2849.5,2886.25,2846.25,2877.75,222354,0
2019-06-09,2891,2900,2880.5,2883.25,14731,0
2019-06-10,2883.25,2905.75,2882,2894.75,161140,0
2019-06-11,2894.75,2911.5,2879.25,2885.75,226380,0
2019-06-12,2886,2889.75,2867.5,2877,180381,0
2019-06-13,2877,2898.75,2873.75,2896.75,186626,0
2019-06-14,2896.75,2898.5,2880.5,2891.75,75236,0
2019-06-16,2891.75,2901.5,2889.5,2899.5,6104,0
2019-06-17,2899.25,2900,2888.75,2892.5,124665,0
2019-06-18,2892.75,2933.25,2886,2924.5,270139,0
2019-06-19,2924.25,2942.25,2908.75,2941.5,214471,0
2019-06-20,2941.5,2961,2932.5,2948.75,247865,0
2019-06-21,2948.75,2966,2944.5,2945,210998,0
2019-06-23,2945,2958.25,2941.5,2957.25,10313,0
2019-06-24,2957.25,2958.25,2941.25,2942.25,162126,0
2019-06-25,2942.25,2949.75,2914.25,2920.25,246173,0
2019-06-26,2920.25,2935.75,2911.25,2924.5,193419,0
2019-06-27,2924.5,2936.25,2914.5,2929.25,181803,0
2019-06-28,2929.5,2952,2927.75,2950.5,158987,0
2019-06-30,2960.75,2974,2960,2966.25,16104,0
2019-07-01,2966.25,2979,2952.25,2967.75,200850,0
2019-07-02,2967.5,2982,2955.25,2972.75,188964,0
2019-07-03,2972.75,3002.25,2970.75,2995.75,118314,0
2019-07-04,2995.75,3000.75,2994,2999.5,12423,0
2019-07-05,2999.5,3000.75,2968.25,2988.25,192359,0
2019-07-07,2988,2991.5,2980.75,2981.5,8337,0
2019-07-08,2981.5,2985.5,2961.5,2963.25,185618,0
2019-07-09,2963.25,2984.5,2960.25,2978.75,170734,0
2019-07-10,2979,3004.25,2968,3002,242566,0
2019-07-11,3002.25,3009.25,2989.25,3007.75,212414,0
2019-07-12,3007.75,3014.5,3002.25,3011,132804,0
2019-07-14,3012.75,3016,3007.75,3015,5640,0
2019-07-15,3015,3020.75,3009.25,3016.5,131216,0
2019-07-16,3016.5,3018.5,2997.25,3005,167020,0
2019-07-17,3005,3009.75,2971.25,2975.5,171938,0
2019-07-18,2975.5,3006.25,2972,3003.25,234661,0
2019-07-19,3003.25,3006.5,2966,2967.75,247004,0
2019-07-21,2970.5,2977.25,2969,2973.25,9531,0
2019-07-22,2973.25,2991.75,2973,2988.5,183925,0
2019-07-23,2988.25,3005.5,2985.75,3004.25,208339,0
2019-07-24,3004.25,3019.5,2992.75,3019,192997,0
2019-07-25,3019,3024.5,2994.75,3010.5,294749,0
2019-07-26,3010.5,3026.25,3006.5,3019.5,165679,0
2019-07-28,3019,3022.75,3016.75,3018,7702,0
2019-07-29,3018,3024.25,3012.25,3022,177399,0
2019-07-30,3022,3022.75,2998.25,3015.5,240646,0
2019-07-31,3015.5,3017.25,2954.5,2981.75,461654,0
2019-08-01,2981.5,3010.75,2935.5,2941,709567,0
2019-08-02,2941.25,2957.75,2910,2931.75,528802,0
2019-08-04,2927.5,2930.25,2890.75,2895.5,43354,0
